drink_name,recipe,recipe_url,url_of_image
Hot Cider Punch,"['3 cups apple juice ', '2\u2009½ cups unsweetened pineapple juice ', '2 cups cranberry juice ', '¼ cup brown sugar ', '2  cinnamon sticks ', '2 teaspoons whole cloves ', '2 teaspoons ground allspice ']",https://www.allrecipes.com/recipe/149846/hot-cider-punch/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1767420.jpg
Spiked Hot Apple Cider,"['1 gallon apple cider ', '3  cinnamon sticks, broken into halves ', '1  orange peel, cut into 1-inch chunks ', '2 tablespoons raisins, or to taste ', '1 tablespoon whole cloves, or to taste ', '1 (750 milliliter) bottle spiced rum ']",https://www.allrecipes.com/recipe/235526/spiked-hot-apple-cider/,/img/icons/generic-recipe.svg
Holiday Apple Wassail,"['1 gallon apple cider ', '6  apples, cored and cut into 1 inch chunks ', '4 (2 inch) whole cinnamon sticks ', '¼ teaspoon ground mace ', '¼ teaspoon anise seed ', '1 teaspoon ground cinnamon ', '1 teaspoon ground nutmeg ', '1 teaspoon ground ginger ', '3 tablespoons brown sugar ', '1  orange, thinly sliced ', '1  lemon, thinly sliced ']",https://www.allrecipes.com/recipe/181762/holiday-apple-wassail/,/img/icons/generic-recipe.svg
The Spiced Cider Project,"['2  oranges ', '60  whole cloves ', '2 (6 ounce) cans frozen apple juice concentrate, thawed ', '3\u2009½ cups water ', '4 (2 inch) sticks cinnamon sticks ']",https://www.allrecipes.com/recipe/57259/the-spiced-cider-project/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F149111.jpg
Hot Mulled Cider,"['9  whole cloves ', '9  whole allspice berries ', '4 (3 inch) pieces cinnamon stick, broken into pieces ', '1 gallon apple cider ', '1 cup firmly packed light brown sugar ', '2  lemons, thinly sliced ']",https://www.allrecipes.com/recipe/275198/hot-mulled-cider/,/img/icons/generic-recipe.svg
Instant Pot&reg; Mulled Apple Cider,"['4 cups apple cider ', '3  cinnamon sticks, plus more for garnish ', '½  lemon, zested  (Optional)', '½ teaspoon whole cloves, or to taste ', '⅛ teaspoon ground nutmeg ', '⅛ teaspoon ground allspice ', '1 tablespoon honey, or to taste ', '½  lemon, sliced  (Optional)']",https://www.allrecipes.com/recipe/278606/instant-pot-mulled-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7688588.jpg
Freyja Farms Holiday Mulled Cider,"['40  whole cloves ', '2 large  oranges, peeled ', '2  lemons, peeled ', '¾ cup dried cherries ', '3  cinnamon sticks ', '8 cups apple cider ', '3 cups pulp-free orange juice ', '1\u2009½ cups brandy, divided  (Optional)']",https://www.allrecipes.com/recipe/240768/freyja-farms-holiday-mulled-cider/,/img/icons/generic-recipe.svg
Christmas Wassail with Baked Apples,"['3 large cooking apples, cored and halved ', '1 gallon apple cider, divided ', '6  whole cloves ', '6  whole allspice berries ', '2 teaspoons ground nutmeg ', '1 (6 ounce) can frozen orange juice concentrate ', '1 (6 ounce) can frozen lemonade concentrate ', '1 cup brown sugar ', '2  cinnamon sticks, or more to taste ']",https://www.allrecipes.com/recipe/230423/christmas-wassail-with-baked-apples/,/img/icons/generic-recipe.svg
Smitty's Apple Cider,"['1 gallon fresh apple cider ', '16 fluid ounces brandy ', '5 fluid ounces moonshine (clear or white whiskey) ', '2  cinnamon sticks ', '2 teaspoons ground cinnamon ', '1 teaspoon nutmeg ']",https://www.allrecipes.com/recipe/240172/smittys-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7070276.jpg
Wassail,"['3  oranges ', '3 tablespoons whole cloves, or as needed ', '  water as needed ', '3 quarts apple cider ', '2 (3 inch) cinnamon sticks ', '5 cups pineapple juice ', '½ cup honey ', '⅓ cup lemon juice ', '2 teaspoons lemon zest ', '½ teaspoon ground nutmeg ']",https://www.allrecipes.com/recipe/275199/wassail/,/img/icons/generic-recipe.svg
Holiday Cider,"['1 gallon apple cider ', '1 (64 fluid ounce) bottle cranberry juice cocktail ', '1 (750 milliliter) bottle amaretto liqueur ', '4  cinnamon sticks, or more to taste ']",https://www.allrecipes.com/recipe/276190/holiday-cider/,/img/icons/generic-recipe.svg
Pineapple Sunrise Mimosas,"['4\u2009½ cups pineapple juice ', '1\u2009⅛ cups orange juice ', '⅓ cup lime juice ', '¼  fresh pineapple, sliced ', '½  blood orange, sliced ', '½  lime, sliced ', '1 (750 milliliter) bottle Prosecco (Italian sparkling wine) ', '¼ cup Campari ', '4 slices pineapple and orange slices, for garnish ']",https://www.allrecipes.com/recipe/261297/pineapple-sunrise-mimosas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4579246.jpg
